doc_id,break_id,trade_id,symbol,quantity,price,counterparty,settlement_date,break_type,mismatch_type,root_cause,severity,corporate_action_type,template_used
doc_0001,BRK00005,TRD100008,TCS,500,4135.85,KOTAK-CUST,2026-08-14,POSITION,CA_MANDATORY_NOT_REFLECTED,"Mandatory corporate action (split/bonus) not yet reflected externally - mechanical, auto-correctable",P1,MANDATORY,template_mt564_ca_notice
doc_0002,BRK00007,TRD100012,TCS,500,4137.77,NOMURA-BROKER,2026-08-20,POSITION,CA_INCORRECT_ENTITLEMENT,Corporate action entitlement calculated incorrectly (wrong ratio applied),P1,MANDATORY,template_mt564_ca_notice
doc_0003,BRK00008,TRD100016,HINDUNILVR,100,2755.51,NOMURA-BROKER,2026-08-06,POSITION,CA_MANDATORY_NOT_REFLECTED,"Mandatory corporate action (split/bonus) not yet reflected externally - mechanical, auto-correctable",P1,MANDATORY,template_mt564_ca_notice
doc_0004,BRK00016,TRD100030,HINDUNILVR,2000,2754.04,ICICI-CUST,2026-08-08,POSITION,CA_INCORRECT_ENTITLEMENT,Corporate action entitlement calculated incorrectly (wrong ratio applied),P1,MANDATORY,template_mt564_ca_notice
doc_0005,BRK00024,TRD100047,KOTAKBANK,750,1964.14,HDFC-CUST,2026-08-05,POSITION,CA_INCORRECT_ENTITLEMENT,Corporate action entitlement calculated incorrectly (wrong ratio applied),P1,MANDATORY,template_mt564_ca_notice
doc_0006,BRK00030,TRD100058,MARUTI,2000,12960.49,HDFC-CUST,2026-08-09,POSITION,CA_VOLUNTARY_DECISION,"Voluntary corporate action (tender/conversion) pending an election - requires a human business decision, always escalated",P1,VOLUNTARY,template_mt564_ca_notice
doc_0007,BRK00034,TRD100068,ITC,2000,469.72,DEUTSCHE-BROKER,2026-08-18,POSITION,CA_VOLUNTARY_DECISION,"Voluntary corporate action (tender/conversion) pending an election - requires a human business decision, always escalated",P1,VOLUNTARY,template_mt564_ca_notice
doc_0008,BRK00044,TRD100086,HINDUNILVR,1500,2739.51,KOTAK-CUST,2026-08-15,POSITION,CA_VOLUNTARY_DECISION,"Voluntary corporate action (tender/conversion) pending an election - requires a human business decision, always escalated",P1,VOLUNTARY,template_mt564_ca_notice
doc_0009,BRK00050,TRD100100,ICICIBANK,750,1241.49,HDFC-CUST,2026-08-18,POSITION,CA_INCORRECT_ENTITLEMENT,Corporate action entitlement calculated incorrectly (wrong ratio applied),P1,MANDATORY,template_mt564_ca_notice
doc_0010,BRK00051,TRD100106,ICICIBANK,750,1246.76,KOTAK-CUST,2026-08-08,POSITION,CA_MANDATORY_NOT_REFLECTED,"Mandatory corporate action (split/bonus) not yet reflected externally - mechanical, auto-correctable",P1,MANDATORY,template_mt564_ca_notice
doc_0011,BRK00052,TRD100107,INFY,750,1881.12,HDFC-CUST,2026-08-19,POSITION,CA_MANDATORY_NOT_REFLECTED,"Mandatory corporate action (split/bonus) not yet reflected externally - mechanical, auto-correctable",P1,MANDATORY,template_mt564_ca_notice
doc_0012,BRK00069,TRD100133,MARUTI,2000,13042.34,DEUTSCHE-BROKER,2026-08-09,POSITION,CA_INCORRECT_ENTITLEMENT,Corporate action entitlement calculated incorrectly (wrong ratio applied),P1,MANDATORY,template_mt564_ca_notice
doc_0013,BRK00072,TRD100136,ITC,2000,468.17,MORGANSTANLEY-BROKER,2026-08-19,POSITION,CA_VOLUNTARY_DECISION,"Voluntary corporate action (tender/conversion) pending an election - requires a human business decision, always escalated",P1,VOLUNTARY,template_mt564_ca_notice
doc_0014,BRK00078,TRD100146,SBIN,1000,845.01,MORGANSTANLEY-BROKER,2026-08-09,POSITION,CA_VOLUNTARY_DECISION,"Voluntary corporate action (tender/conversion) pending an election - requires a human business decision, always escalated",P1,VOLUNTARY,template_mt564_ca_notice
doc_0015,BRK00086,TRD100164,INFY,100,1898.74,DEUTSCHE-BROKER,2026-08-11,POSITION,CA_MANDATORY_NOT_REFLECTED,"Mandatory corporate action (split/bonus) not yet reflected externally - mechanical, auto-correctable",P1,MANDATORY,template_mt564_ca_notice
doc_0016,BRK00094,TRD100180,AXISBANK,750,1179.7,DEUTSCHE-BROKER,2026-08-21,POSITION,CA_INCORRECT_ENTITLEMENT,Corporate action entitlement calculated incorrectly (wrong ratio applied),P1,MANDATORY,template_mt564_ca_notice
doc_0017,BRK00102,TRD100199,LT,1000,3664.4,DEUTSCHE-BROKER,2026-08-03,POSITION,CA_MANDATORY_NOT_REFLECTED,"Mandatory corporate action (split/bonus) not yet reflected externally - mechanical, auto-correctable",P1,MANDATORY,template_mt564_ca_notice
doc_0018,BRK00107,TRD100211,TATASTEEL,500,172.14,MORGANSTANLEY-BROKER,2026-08-17,POSITION,CA_MANDATORY_NOT_REFLECTED,"Mandatory corporate action (split/bonus) not yet reflected externally - mechanical, auto-correctable",P1,MANDATORY,template_mt564_ca_notice
doc_0019,BRK00110,TRD100216,SBIN,200,846.3,KOTAK-CUST,2026-08-06,POSITION,CA_MANDATORY_NOT_REFLECTED,"Mandatory corporate action (split/bonus) not yet reflected externally - mechanical, auto-correctable",P1,MANDATORY,template_mt564_ca_notice
doc_0020,BRK00121,TRD100241,RELIANCE,1000,2851.81,HDFC-CUST,2026-08-22,POSITION,CA_INCORRECT_ENTITLEMENT,Corporate action entitlement calculated incorrectly (wrong ratio applied),P1,MANDATORY,template_mt564_ca_notice
doc_0021,BRK00123,TRD100247,SBIN,250,845.57,KOTAK-CUST,2026-08-17,POSITION,CA_MANDATORY_NOT_REFLECTED,"Mandatory corporate action (split/bonus) not yet reflected externally - mechanical, auto-correctable",P1,MANDATORY,template_mt564_ca_notice
doc_0022,BRK00128,TRD100261,HINDUNILVR,2000,2732.59,MORGANSTANLEY-BROKER,2026-08-19,POSITION,CA_VOLUNTARY_DECISION,"Voluntary corporate action (tender/conversion) pending an election - requires a human business decision, always escalated",P1,VOLUNTARY,template_mt564_ca_notice
doc_0023,BRK00131,TRD100264,SBIN,200,845.18,KOTAK-CUST,2026-08-18,POSITION,CA_VOLUNTARY_DECISION,"Voluntary corporate action (tender/conversion) pending an election - requires a human business decision, always escalated",P1,VOLUNTARY,template_mt564_ca_notice
doc_0024,BRK00133,TRD100266,INFY,250,1886.95,KOTAK-CUST,2026-08-09,POSITION,CA_MANDATORY_NOT_REFLECTED,"Mandatory corporate action (split/bonus) not yet reflected externally - mechanical, auto-correctable",P1,MANDATORY,template_mt564_ca_notice
doc_0025,BRK00142,TRD100285,HDFCBANK,1500,1675.2,ICICI-CUST,2026-08-03,POSITION,CA_VOLUNTARY_DECISION,"Voluntary corporate action (tender/conversion) pending an election - requires a human business decision, always escalated",P1,VOLUNTARY,template_mt564_ca_notice
doc_0026,BRK00155,TRD100311,TCS,1500,4127.72,HDFC-CUST,2026-08-07,POSITION,CA_INCORRECT_ENTITLEMENT,Corporate action entitlement calculated incorrectly (wrong ratio applied),P1,MANDATORY,template_mt564_ca_notice
doc_0027,BRK00159,TRD100316,HDFCBANK,250,1674.83,NOMURA-BROKER,2026-08-16,POSITION,CA_INCORRECT_ENTITLEMENT,Corporate action entitlement calculated incorrectly (wrong ratio applied),P1,MANDATORY,template_mt564_ca_notice
doc_0028,BRK00163,TRD100324,TATASTEEL,2000,171.64,HDFC-CUST,2026-08-15,POSITION,CA_INCORRECT_ENTITLEMENT,Corporate action entitlement calculated incorrectly (wrong ratio applied),P1,MANDATORY,template_mt564_ca_notice
doc_0029,BRK00168,TRD100339,TATASTEEL,2000,173.05,MORGANSTANLEY-BROKER,2026-08-04,POSITION,CA_INCORRECT_ENTITLEMENT,Corporate action entitlement calculated incorrectly (wrong ratio applied),P1,MANDATORY,template_mt564_ca_notice
doc_0030,BRK00171,TRD100344,BHARTIARTL,2000,1690.97,KOTAK-CUST,2026-08-13,POSITION,CA_MANDATORY_NOT_REFLECTED,"Mandatory corporate action (split/bonus) not yet reflected externally - mechanical, auto-correctable",P1,MANDATORY,template_mt564_ca_notice
doc_0031,BRK00174,TRD100350,INFY,1000,1884.05,DEUTSCHE-BROKER,2026-08-19,POSITION,CA_VOLUNTARY_DECISION,"Voluntary corporate action (tender/conversion) pending an election - requires a human business decision, always escalated",P1,VOLUNTARY,template_mt564_ca_notice
doc_0032,BRK00180,TRD100364,TATASTEEL,200,172.1,HDFC-CUST,2026-08-20,POSITION,CA_INCORRECT_ENTITLEMENT,Corporate action entitlement calculated incorrectly (wrong ratio applied),P1,MANDATORY,template_mt564_ca_notice
doc_0033,BRK00196,TRD100388,KOTAKBANK,100,1956.94,NOMURA-BROKER,2026-08-22,POSITION,CA_MANDATORY_NOT_REFLECTED,"Mandatory corporate action (split/bonus) not yet reflected externally - mechanical, auto-correctable",P1,MANDATORY,template_mt564_ca_notice
