cash_id,trade_id,account,currency,amount,expected_amount,value_date,transaction_type,status,split
1,TRD100000,ACC-EQ-CORE-02,INR,354246.62,389282.0,2026-08-10,SETTLEMENT,MATCHED,TRAIN
2,TRD100001,ACC-EQ-INDEX-04,INR,122286.0,122286.0,2026-08-19,SETTLEMENT,MATCHED,TRAIN
3,TRD100002,ACC-EQ-CORE-01,INR,568496.0,568496.0,2026-08-18,SETTLEMENT,MATCHED,TEST
4,TRD100003,ACC-EQ-CORE-01,INR,912960.0,912960.0,2026-08-20,SETTLEMENT,MATCHED,TRAIN
5,TRD100004,ACC-EQ-ALPHA-03,GBP,978038.85,914055.0,2026-08-06,SETTLEMENT,MATCHED,TEST
6,TRD100005,ACC-EQ-ALPHA-03,INR,6156195.0,6156195.0,2026-08-13,SETTLEMENT,MATCHED,TEST
7,TRD100006,ACC-EQ-ALPHA-03,INR,1221140.0,1221140.0,2026-08-14,SETTLEMENT,MATCHED,TRAIN
8,TRD100007,ACC-EQ-CORE-02,INR,591330.0,591330.0,2026-08-03,SETTLEMENT,MATCHED,TRAIN
9,TRD100008,ACC-EQ-INDEX-04,INR,2067925.0,2067925.0,2026-08-14,SETTLEMENT,MATCHED,TEST
10,TRD100009,ACC-EQ-CORE-01,INR,1887560.0,1887560.0,2026-08-10,SETTLEMENT,MATCHED,TRAIN
11,TRD100010,ACC-EQ-CORE-02,INR,1833880.0,1833880.0,2026-08-14,SETTLEMENT,MATCHED,TRAIN
12,TRD100011,ACC-EQ-INDEX-04,INR,1294483.0,1294483.0,2026-08-03,SETTLEMENT,MATCHED,TRAIN
13,TRD100012,ACC-EQ-ALPHA-03,INR,2068885.0,2068885.0,2026-08-20,SETTLEMENT,MATCHED,TRAIN
14,TRD100013,ACC-EQ-CORE-02,INR,3907320.0,3907320.0,2026-08-22,SETTLEMENT,MATCHED,TEST
15,TRD100014,ACC-EQ-INDEX-04,INR,947465.0,947465.0,2026-08-19,SETTLEMENT,MATCHED,TRAIN
16,TRD100015,ACC-EQ-INDEX-04,INR,424905.0,424905.0,2026-08-06,SETTLEMENT,MATCHED,TRAIN
17,TRD100016,ACC-EQ-CORE-02,INR,275551.0,275551.0,2026-08-06,SETTLEMENT,MATCHED,TEST
18,TRD100017,ACC-EQ-ALPHA-03,INR,235778.0,235778.0,2026-08-21,SETTLEMENT,MATCHED,TEST
19,TRD100018,ACC-EQ-ALPHA-03,INR,391850.0,391850.0,2026-08-19,SETTLEMENT,MATCHED,TRAIN
20,TRD100019,ACC-EQ-ALPHA-03,INR,1854840.0,1854840.0,2026-08-02,SETTLEMENT,MATCHED,TRAIN
21,TRD100020,ACC-EQ-CORE-02,INR,738758.0,738758.0,2026-08-11,SETTLEMENT,MATCHED,TRAIN
22,TRD100021,ACC-EQ-ALPHA-03,INR,211482.5,211482.5,2026-08-18,SETTLEMENT,MATCHED,TRAIN
23,TRD100022,ACC-EQ-CORE-01,INR,572546.0,572546.0,2026-08-11,SETTLEMENT,MATCHED,TRAIN
24,TRD100023,ACC-EQ-CORE-02,INR,34348.0,34348.0,2026-08-17,SETTLEMENT,MATCHED,TRAIN
25,TRD100024,ACC-EQ-INDEX-04,INR,3928880.0,3928880.0,2026-08-07,SETTLEMENT,MATCHED,TEST
26,TRD100025,ACC-EQ-ALPHA-03,INR,86410.0,86410.0,2026-08-14,SETTLEMENT,MATCHED,TEST
27,TRD100026,ACC-EQ-ALPHA-03,INR,343600.0,343600.0,2026-08-09,SETTLEMENT,MATCHED,TRAIN
28,TRD100027,ACC-EQ-CORE-01,INR,590645.0,590645.0,2026-08-02,SETTLEMENT,MATCHED,TRAIN
29,TRD100028,ACC-EQ-CORE-02,INR,413557.0,413557.0,2026-08-04,SETTLEMENT,MATCHED,TEST
30,TRD100029,ACC-EQ-INDEX-04,INR,3900220.0,3900220.0,2026-08-06,SETTLEMENT,MATCHED,TRAIN
31,TRD100030,ACC-EQ-CORE-01,INR,5508080.0,5508080.0,2026-08-08,SETTLEMENT,MATCHED,TRAIN
32,TRD100031,ACC-EQ-CORE-01,INR,1267275.0,1267275.0,2026-08-03,SETTLEMENT,MATCHED,TRAIN
33,TRD100032,ACC-EQ-CORE-02,INR,1695480.0,1695480.0,2026-08-05,SETTLEMENT,MATCHED,TRAIN
34,TRD100033,ACC-EQ-INDEX-04,INR,7333820.0,7333820.0,2026-08-07,SETTLEMENT,MATCHED,TRAIN
35,TRD100034,ACC-EQ-CORE-01,INR,2594524.0,2594524.0,2026-08-19,SETTLEMENT,MATCHED,TRAIN
36,TRD100035,ACC-EQ-CORE-02,INR,2053500.0,2053500.0,2026-08-17,SETTLEMENT,MATCHED,TRAIN
37,TRD100036,ACC-EQ-ALPHA-03,INR,17187.0,17187.0,2026-08-02,SETTLEMENT,MATCHED,TEST
38,TRD100037,ACC-EQ-INDEX-04,INR,1864860.0,1864860.0,2026-08-19,SETTLEMENT,MATCHED,TEST
39,TRD100038,ACC-EQ-CORE-01,INR,1252852.5,1252852.5,2026-08-03,SETTLEMENT,MATCHED,TRAIN
40,TRD100039,ACC-EQ-CORE-02,INR,316671.9,285290.0,2026-08-18,SETTLEMENT,MATCHED,TRAIN
41,TRD100040,ACC-EQ-CORE-01,INR,738616.0,738616.0,2026-08-04,SETTLEMENT,MATCHED,TRAIN
42,TRD100041,ACC-EQ-CORE-01,INR,339572.0,339572.0,2026-08-20,SETTLEMENT,MATCHED,TRAIN
43,TRD100042,ACC-EQ-ALPHA-03,INR,1697750.0,1697750.0,2026-08-08,SETTLEMENT,MATCHED,TRAIN
44,TRD100043,ACC-EQ-INDEX-04,INR,1854330.0,1854330.0,2026-08-22,SETTLEMENT,MATCHED,TRAIN
45,TRD100044,ACC-EQ-CORE-01,INR,34320.0,34320.0,2026-08-21,SETTLEMENT,MATCHED,TRAIN
46,TRD100045,ACC-EQ-CORE-01,INR,1840185.0,1840185.0,2026-08-06,SETTLEMENT,MATCHED,TEST
47,TRD100046,ACC-EQ-ALPHA-03,INR,632032.5,632032.5,2026-08-19,SETTLEMENT,MATCHED,TEST
48,TRD100047,ACC-EQ-ALPHA-03,INR,1473105.0,1473105.0,2026-08-05,SETTLEMENT,MATCHED,TRAIN
49,TRD100048,ACC-EQ-ALPHA-03,INR,34574.0,34574.0,2026-08-06,SETTLEMENT,MATCHED,TRAIN
50,TRD100048,ACC-EQ-ALPHA-03,INR,34574.0,34574.0,2026-08-06,SETTLEMENT,MATCHED,TRAIN
51,TRD100049,ACC-EQ-INDEX-04,INR,608540.0,608540.0,2026-08-22,SETTLEMENT,MATCHED,TRAIN
52,TRD100050,ACC-EQ-CORE-01,INR,17175.0,17175.0,2026-08-15,SETTLEMENT,MATCHED,TRAIN
53,TRD100051,ACC-EQ-INDEX-04,INR,211690.0,211690.0,2026-08-10,SETTLEMENT,MATCHED,TRAIN
54,TRD100052,ACC-EQ-CORE-01,INR,366587.0,366587.0,2026-08-06,SETTLEMENT,MATCHED,TRAIN
55,TRD100053,ACC-EQ-ALPHA-03,INR,294855.0,294855.0,2026-08-03,SETTLEMENT,MATCHED,TRAIN
56,TRD100054,ACC-EQ-CORE-01,INR,171950.0,171950.0,2026-08-09,SETTLEMENT,MATCHED,TRAIN
57,TRD100055,ACC-EQ-CORE-02,INR,4137915.0,4137915.0,2026-08-06,SETTLEMENT,MATCHED,TRAIN
58,TRD100056,ACC-EQ-CORE-02,INR,285763.95,257445.0,2026-08-12,SETTLEMENT,MATCHED,TEST
59,TRD100057,ACC-EQ-CORE-02,INR,377616.0,377616.0,2026-08-03,SETTLEMENT,MATCHED,TRAIN
60,TRD100058,ACC-EQ-CORE-01,INR,25920980.0,25920980.0,2026-08-09,SETTLEMENT,MATCHED,TRAIN
61,TRD100059,ACC-EQ-ALPHA-03,INR,1686660.0,1686660.0,2026-08-04,SETTLEMENT,MATCHED,TRAIN
62,TRD100060,ACC-EQ-CORE-02,INR,1964290.0,1964290.0,2026-08-05,SETTLEMENT,MATCHED,TRAIN
63,TRD100061,ACC-EQ-ALPHA-03,INR,570650.0,570650.0,2026-08-13,SETTLEMENT,MATCHED,TRAIN
64,TRD100062,ACC-EQ-ALPHA-03,INR,235780.0,235780.0,2026-08-20,SETTLEMENT,MATCHED,TRAIN
65,TRD100063,ACC-EQ-CORE-02,INR,910965.0,910965.0,2026-08-19,SETTLEMENT,MATCHED,TRAIN
66,TRD100064,ACC-EQ-ALPHA-03,INR,339598.0,339598.0,2026-08-12,SETTLEMENT,MATCHED,TRAIN
67,TRD100064,ACC-EQ-ALPHA-03,INR,339598.0,339598.0,2026-08-12,SETTLEMENT,MATCHED,TRAIN
68,TRD100065,ACC-EQ-INDEX-04,INR,457792.5,457792.5,2026-08-15,SETTLEMENT,MATCHED,TRAIN
69,TRD100066,ACC-EQ-CORE-02,INR,917202.5,917202.5,2026-08-14,SETTLEMENT,MATCHED,TRAIN
70,TRD100067,ACC-EQ-ALPHA-03,INR,200762.52,168708.0,2026-08-08,SETTLEMENT,MATCHED,TRAIN
71,TRD100068,ACC-EQ-CORE-02,INR,939440.0,939440.0,2026-08-18,SETTLEMENT,MATCHED,TRAIN
72,TRD100069,ACC-EQ-ALPHA-03,INR,1235750.0,1235750.0,2026-08-09,SETTLEMENT,MATCHED,TRAIN
73,TRD100070,ACC-EQ-INDEX-04,INR,1367960.0,1367960.0,2026-08-03,SETTLEMENT,MATCHED,TEST
74,TRD100071,ACC-EQ-INDEX-04,INR,706065.0,706065.0,2026-08-20,SETTLEMENT,MATCHED,TRAIN
75,TRD100072,ACC-EQ-INDEX-04,INR,842220.0,842220.0,2026-08-02,SETTLEMENT,MATCHED,TRAIN
76,TRD100073,ACC-EQ-INDEX-04,INR,3763600.0,3763600.0,2026-08-09,SETTLEMENT,MATCHED,TRAIN
77,TRD100074,ACC-EQ-ALPHA-03,INR,5500400.0,5500400.0,2026-08-19,SETTLEMENT,MATCHED,TRAIN
78,TRD100075,ACC-EQ-CORE-02,INR,1776225.0,1776225.0,2026-08-19,SETTLEMENT,MATCHED,TEST
79,TRD100076,ACC-EQ-INDEX-04,INR,352560.0,352560.0,2026-08-22,SETTLEMENT,MATCHED,TEST
80,TRD100077,ACC-EQ-ALPHA-03,INR,2471120.0,2471120.0,2026-08-11,SETTLEMENT,MATCHED,TRAIN
81,TRD100078,ACC-EQ-CORE-02,INR,168508.0,168508.0,2026-08-09,SETTLEMENT,MATCHED,TEST
82,TRD100079,ACC-EQ-INDEX-04,INR,6175410.0,6175410.0,2026-08-19,SETTLEMENT,MATCHED,TRAIN
84,TRD100081,ACC-EQ-INDEX-04,INR,47098.0,47098.0,2026-08-11,SETTLEMENT,MATCHED,TRAIN
85,TRD100082,ACC-EQ-INDEX-04,INR,233920.0,233920.0,2026-08-17,SETTLEMENT,MATCHED,TRAIN
86,TRD100083,ACC-EQ-CORE-01,INR,2940120.0,2940120.0,2026-08-16,SETTLEMENT,MATCHED,TRAIN
87,TRD100084,ACC-EQ-INDEX-04,INR,117534.0,117534.0,2026-08-15,SETTLEMENT,MATCHED,TRAIN
88,TRD100085,ACC-EQ-ALPHA-03,INR,2135287.5,2135287.5,2026-08-08,SETTLEMENT,MATCHED,TEST
89,TRD100086,ACC-EQ-CORE-01,INR,4109265.0,4109265.0,2026-08-15,SETTLEMENT,MATCHED,TRAIN
90,TRD100087,ACC-EQ-CORE-01,INR,286475.0,286475.0,2026-08-13,SETTLEMENT,MATCHED,TRAIN
92,TRD100089,ACC-EQ-INDEX-04,INR,3787000.0,3787000.0,2026-08-20,SETTLEMENT,MATCHED,TRAIN
93,TRD100090,ACC-EQ-CORE-01,INR,2736480.0,2736480.0,2026-08-21,SETTLEMENT,MATCHED,TRAIN
94,TRD100091,ACC-EQ-INDEX-04,INR,248356.0,248356.0,2026-08-11,SETTLEMENT,MATCHED,TRAIN
95,TRD100092,ACC-EQ-CORE-01,INR,303880.0,303880.0,2026-08-22,SETTLEMENT,MATCHED,TRAIN
96,TRD100093,ACC-EQ-ALPHA-03,INR,2603690.0,2603690.0,2026-08-20,SETTLEMENT,MATCHED,TRAIN
97,TRD100094,ACC-EQ-CORE-01,INR,1947270.0,1947270.0,2026-08-22,SETTLEMENT,MATCHED,TEST
98,TRD100095,ACC-EQ-INDEX-04,INR,25857600.0,25857600.0,2026-08-13,SETTLEMENT,MATCHED,TRAIN
99,TRD100096,ACC-EQ-INDEX-04,INR,423587.5,423587.5,2026-08-22,SETTLEMENT,MATCHED,TRAIN
100,TRD100097,ACC-EQ-ALPHA-03,INR,1265550.0,1265550.0,2026-08-09,SETTLEMENT,MATCHED,TRAIN
101,TRD100098,ACC-EQ-CORE-01,INR,3352740.0,3352740.0,2026-08-14,SETTLEMENT,MATCHED,TRAIN
102,TRD100099,ACC-EQ-ALPHA-03,INR,12938700.0,12938700.0,2026-08-08,SETTLEMENT,MATCHED,TRAIN
103,TRD100100,ACC-EQ-CORE-01,INR,931117.5,931117.5,2026-08-18,SETTLEMENT,MATCHED,TRAIN
104,TRD100101,ACC-EQ-INDEX-04,INR,915420.0,915420.0,2026-08-09,SETTLEMENT,MATCHED,TRAIN
105,TRD100102,ACC-EQ-CORE-02,INR,46699.0,46699.0,2026-08-09,SETTLEMENT,MATCHED,TRAIN
106,TRD100103,ACC-EQ-INDEX-04,INR,1955180.0,1955180.0,2026-08-18,SETTLEMENT,MATCHED,TRAIN
107,TRD100104,ACC-EQ-CORE-01,INR,1687320.0,1687320.0,2026-08-10,SETTLEMENT,MATCHED,TRAIN
108,TRD100105,ACC-EQ-CORE-02,INR,169530.0,169530.0,2026-08-07,SETTLEMENT,MATCHED,TEST
109,TRD100106,ACC-EQ-CORE-02,INR,935070.0,935070.0,2026-08-08,SETTLEMENT,MATCHED,TEST
110,TRD100107,ACC-EQ-ALPHA-03,INR,1410840.0,1410840.0,2026-08-19,SETTLEMENT,MATCHED,TRAIN
111,TRD100108,ACC-EQ-INDEX-04,INR,2142097.5,2142097.5,2026-08-06,SETTLEMENT,MATCHED,TRAIN
112,TRD100109,ACC-EQ-INDEX-04,INR,1298961.0,1298961.0,2026-08-17,SETTLEMENT,MATCHED,TRAIN
113,TRD100110,ACC-EQ-CORE-01,INR,188562.0,188562.0,2026-08-17,SETTLEMENT,MATCHED,TRAIN
114,TRD100111,ACC-EQ-CORE-02,INR,93852.0,93852.0,2026-08-03,SETTLEMENT,MATCHED,TRAIN
115,TRD100112,ACC-EQ-CORE-02,INR,2052515.0,2052515.0,2026-08-15,SETTLEMENT,MATCHED,TRAIN
116,TRD100113,ACC-EQ-ALPHA-03,INR,935900.0,935900.0,2026-08-20,SETTLEMENT,MATCHED,TRAIN
117,TRD100114,ACC-EQ-CORE-02,INR,237106.0,237106.0,2026-08-08,SETTLEMENT,MATCHED,TEST
118,TRD100114,ACC-EQ-CORE-02,INR,237106.0,237106.0,2026-08-08,SETTLEMENT,MATCHED,TEST
119,TRD100115,ACC-EQ-CORE-01,INR,389798.0,389798.0,2026-08-07,SETTLEMENT,MATCHED,TRAIN
120,TRD100116,ACC-EQ-ALPHA-03,INR,4273635.0,4273635.0,2026-08-21,SETTLEMENT,MATCHED,TRAIN
121,TRD100117,ACC-EQ-CORE-02,INR,1259002.5,1259002.5,2026-08-16,SETTLEMENT,MATCHED,TEST
122,TRD100118,ACC-EQ-CORE-02,INR,1371770.0,1371770.0,2026-08-19,SETTLEMENT,MATCHED,TRAIN
123,TRD100119,ACC-EQ-ALPHA-03,INR,3231092.5,3231092.5,2026-08-07,SETTLEMENT,MATCHED,TRAIN
124,TRD100120,ACC-EQ-INDEX-04,INR,8257040.0,8257040.0,2026-08-14,SETTLEMENT,MATCHED,TRAIN
125,TRD100121,ACC-EQ-ALPHA-03,INR,413680.0,413680.0,2026-08-12,SETTLEMENT,MATCHED,TRAIN
126,TRD100122,ACC-EQ-CORE-01,INR,2069890.0,2069890.0,2026-08-20,SETTLEMENT,MATCHED,TEST
127,TRD100123,ACC-EQ-INDEX-04,INR,118336.0,118336.0,2026-08-07,SETTLEMENT,MATCHED,TEST
128,TRD100124,ACC-EQ-INDEX-04,INR,2839275.0,2839275.0,2026-08-17,SETTLEMENT,MATCHED,TRAIN
129,TRD100125,ACC-EQ-ALPHA-03,INR,1383651.6,1687380.0,2026-08-05,SETTLEMENT,MATCHED,TRAIN
130,TRD100126,ACC-EQ-CORE-01,INR,1218120.0,1218120.0,2026-08-14,SETTLEMENT,MATCHED,TEST
131,TRD100127,ACC-EQ-CORE-01,INR,4110550.0,4110550.0,2026-08-05,SETTLEMENT,MATCHED,TRAIN
132,TRD100128,ACC-EQ-INDEX-04,INR,168512.0,168512.0,2026-08-13,SETTLEMENT,MATCHED,TRAIN
133,TRD100129,ACC-EQ-ALPHA-03,INR,273746.0,273746.0,2026-08-19,SETTLEMENT,MATCHED,TRAIN
134,TRD100130,ACC-EQ-CORE-02,INR,343600.0,343600.0,2026-08-22,SETTLEMENT,MATCHED,TRAIN
135,TRD100131,ACC-EQ-CORE-01,INR,124145.0,124145.0,2026-08-04,SETTLEMENT,MATCHED,TEST
136,TRD100132,ACC-EQ-ALPHA-03,INR,1030170.0,1030170.0,2026-08-11,SETTLEMENT,MATCHED,TEST
137,TRD100133,ACC-EQ-CORE-02,INR,26084680.0,26084680.0,2026-08-09,SETTLEMENT,MATCHED,TEST
138,TRD100134,ACC-EQ-ALPHA-03,EUR,435036.37,420325.0,2026-08-10,SETTLEMENT,MATCHED,TRAIN
139,TRD100135,ACC-EQ-INDEX-04,INR,1295181.0,1295181.0,2026-08-11,SETTLEMENT,MATCHED,TRAIN
140,TRD100136,ACC-EQ-INDEX-04,INR,936340.0,936340.0,2026-08-19,SETTLEMENT,MATCHED,TEST
141,TRD100137,ACC-EQ-INDEX-04,INR,173090.0,173090.0,2026-08-09,SETTLEMENT,MATCHED,TRAIN
142,TRD100138,ACC-EQ-INDEX-04,INR,19381155.0,19381155.0,2026-08-17,SETTLEMENT,MATCHED,TRAIN
143,TRD100139,ACC-EQ-ALPHA-03,INR,488902.5,488902.5,2026-08-03,SETTLEMENT,MATCHED,TRAIN
144,TRD100140,ACC-EQ-CORE-02,INR,25856080.0,25856080.0,2026-08-16,SETTLEMENT,MATCHED,TRAIN
145,TRD100141,ACC-EQ-INDEX-04,INR,3231202.5,3231202.5,2026-08-10,SETTLEMENT,MATCHED,TRAIN
146,TRD100142,ACC-EQ-ALPHA-03,INR,11853414.3,13025730.0,2026-08-19,SETTLEMENT,MATCHED,TRAIN
