position_id,trade_id,security,portfolio,expected_quantity,actual_quantity,as_of_date,source,split
1,TRD100000,KOTAKBANK,EQ-CORE-02,200,200,2026-08-10,CUSTODIAN,TRAIN
2,TRD100001,WIPRO,EQ-INDEX-04,200,200,2026-08-19,CUSTODIAN,TRAIN
3,TRD100002,RELIANCE,EQ-CORE-01,200,0,2026-08-18,MISSING,TEST
4,TRD100003,WIPRO,EQ-CORE-01,1500,1500,2026-08-20,CUSTODIAN,TRAIN
5,TRD100004,WIPRO,EQ-ALPHA-03,1500,1500,2026-08-06,CUSTODIAN,TEST
6,TRD100005,TCS,EQ-ALPHA-03,1500,1500,2026-08-13,CUSTODIAN,TEST
7,TRD100006,WIPRO,EQ-ALPHA-03,2000,2000,2026-08-14,CUSTODIAN,TRAIN
8,TRD100007,AXISBANK,EQ-CORE-02,500,500,2026-08-03,CUSTODIAN,TRAIN
9,TRD100008,TCS,EQ-INDEX-04,500,500,2026-08-14,CUSTODIAN,TEST
10,TRD100009,INFY,EQ-CORE-01,1000,1000,2026-08-10,CUSTODIAN,TRAIN
11,TRD100010,LT,EQ-CORE-02,500,500,2026-08-14,CUSTODIAN,TRAIN
12,TRD100011,MARUTI,EQ-INDEX-04,100,100,2026-08-03,CUSTODIAN,TRAIN
13,TRD100012,TCS,EQ-ALPHA-03,500,1350,2026-08-20,CUSTODIAN,TRAIN
14,TRD100013,KOTAKBANK,EQ-CORE-02,2000,2000,2026-08-22,CUSTODIAN,TEST
15,TRD100014,INFY,EQ-INDEX-04,500,500,2026-08-19,CUSTODIAN,TRAIN
16,TRD100015,SBIN,EQ-INDEX-04,500,500,2026-08-06,CUSTODIAN,TRAIN
17,TRD100016,HINDUNILVR,EQ-CORE-02,100,100,2026-08-06,CUSTODIAN,TEST
18,TRD100017,AXISBANK,EQ-ALPHA-03,200,200,2026-08-21,CUSTODIAN,TEST
19,TRD100018,KOTAKBANK,EQ-ALPHA-03,200,200,2026-08-19,CUSTODIAN,TRAIN
20,TRD100019,ICICIBANK,EQ-ALPHA-03,1500,1500,2026-08-03,CUSTODIAN,TRAIN
21,TRD100020,LT,EQ-CORE-02,200,200,2026-08-11,CUSTODIAN,TRAIN
22,TRD100021,SBIN,EQ-ALPHA-03,250,250,2026-08-18,CUSTODIAN,TRAIN
23,TRD100022,RELIANCE,EQ-CORE-01,200,200,2026-08-11,CUSTODIAN,TRAIN
24,TRD100023,TATASTEEL,EQ-CORE-02,200,200,2026-08-17,CUSTODIAN,TRAIN
25,TRD100024,KOTAKBANK,EQ-INDEX-04,2000,2000,2026-08-07,CUSTODIAN,TEST
26,TRD100025,TATASTEEL,EQ-ALPHA-03,500,500,2026-08-14,CUSTODIAN,TEST
27,TRD100026,TATASTEEL,EQ-ALPHA-03,2000,2000,2026-08-09,CUSTODIAN,TRAIN
28,TRD100027,AXISBANK,EQ-CORE-01,500,500,2026-08-02,CUSTODIAN,TRAIN
29,TRD100028,TCS,EQ-CORE-02,100,100,2026-08-04,CUSTODIAN,TEST
30,TRD100029,KOTAKBANK,EQ-INDEX-04,2000,2000,2026-08-06,CUSTODIAN,TRAIN
31,TRD100030,HINDUNILVR,EQ-CORE-01,2000,3400,2026-08-08,CUSTODIAN,TRAIN
32,TRD100031,SBIN,EQ-CORE-01,1500,1500,2026-08-03,CUSTODIAN,TRAIN
33,TRD100032,BHARTIARTL,EQ-CORE-02,1000,1000,2026-08-05,CUSTODIAN,TRAIN
34,TRD100033,LT,EQ-INDEX-04,2000,2000,2026-08-07,CUSTODIAN,TRAIN
35,TRD100034,MARUTI,EQ-CORE-01,200,200,2026-08-19,CUSTODIAN,TRAIN
36,TRD100035,TCS,EQ-CORE-02,500,500,2026-08-17,CUSTODIAN,TRAIN
37,TRD100036,TATASTEEL,EQ-ALPHA-03,100,100,2026-08-02,CUSTODIAN,TEST
38,TRD100037,ICICIBANK,EQ-INDEX-04,1500,1500,2026-08-19,CUSTODIAN,TEST
39,TRD100038,HDFCBANK,EQ-CORE-01,750,750,2026-08-03,CUSTODIAN,TRAIN
40,TRD100039,RELIANCE,EQ-CORE-02,100,100,2026-08-18,CUSTODIAN,TRAIN
41,TRD100040,LT,EQ-CORE-01,200,200,2026-08-04,CUSTODIAN,TRAIN
42,TRD100041,BHARTIARTL,EQ-CORE-01,200,200,2026-08-20,CUSTODIAN,TRAIN
43,TRD100042,BHARTIARTL,EQ-ALPHA-03,1000,1000,2026-08-08,CUSTODIAN,TRAIN
44,TRD100043,ICICIBANK,EQ-INDEX-04,1500,1500,2026-08-22,CUSTODIAN,TRAIN
45,TRD100044,TATASTEEL,EQ-CORE-01,200,200,2026-08-21,CUSTODIAN,TRAIN
46,TRD100045,LT,EQ-CORE-01,500,500,2026-08-06,CUSTODIAN,TEST
47,TRD100046,SBIN,EQ-ALPHA-03,750,750,2026-08-19,CUSTODIAN,TEST
48,TRD100047,KOTAKBANK,EQ-ALPHA-03,750,975,2026-08-05,CUSTODIAN,TRAIN
49,TRD100048,TATASTEEL,EQ-ALPHA-03,200,200,2026-08-06,CUSTODIAN,TRAIN
50,TRD100049,WIPRO,EQ-INDEX-04,1000,1000,2026-08-22,CUSTODIAN,TRAIN
51,TRD100050,TATASTEEL,EQ-CORE-01,100,100,2026-08-15,CUSTODIAN,TRAIN
52,TRD100051,SBIN,EQ-INDEX-04,250,250,2026-08-10,CUSTODIAN,TRAIN
