settlement_id,trade_id,settlement_date,settlement_status,instruction_status,custodian,quantity,amount,ssi_code,split
1,TRD100000,2026-08-10,SETTLED,INSTRUCTED,HDFC-CUST,200,389282.0,SSI-IN-0147,TRAIN
2,TRD100001,2026-08-19,SETTLED,INSTRUCTED,ICICI-CUST,200,122286.0,SSI-IN-0091,TRAIN
3,TRD100002,2026-08-18,SETTLED,INSTRUCTED,MORGANSTANLEY-BROKER,200,568496.0,SSI-US-7742,TEST
4,TRD100003,2026-08-25,PENDING,INSTRUCTED,KOTAK-CUST,1500,912960.0,SSI-IN-0203,TRAIN
5,TRD100004,2026-08-06,SETTLED,INSTRUCTED,HDFC-CUST,1500,914055.0,SSI-IN-0147,TEST
6,TRD100005,2026-08-13,SETTLED,INSTRUCTED,MORGANSTANLEY-BROKER,1500,6156195.0,SSI-US-7742,TEST
7,TRD100006,2026-08-14,SETTLED,INSTRUCTED,ICICI-CUST,2000,1221140.0,SSI-IN-0091,TRAIN
8,TRD100007,2026-08-03,SETTLED,INSTRUCTED,NOMURA-BROKER,500,591330.0,SSI-JP-3389,TRAIN
9,TRD100008,2026-08-14,SETTLED,INSTRUCTED,KOTAK-CUST,500,2067925.0,SSI-IN-0203,TEST
10,TRD100009,2026-08-12,PENDING,INSTRUCTED,NOMURA-BROKER,1000,1887560.0,SSI-JP-3389,TRAIN
11,TRD100010,2026-08-14,SETTLED,INSTRUCTED,KOTAK-CUST,500,1833880.0,SSI-IN-0203,TRAIN
12,TRD100011,2026-08-03,SETTLED,INSTRUCTED,KOTAK-CUST,100,1294483.0,SSI-IN-0203,TRAIN
13,TRD100012,2026-08-20,SETTLED,INSTRUCTED,NOMURA-BROKER,500,2068885.0,SSI-JP-3389,TRAIN
14,TRD100013,2026-08-22,SETTLED,INSTRUCTED,DEUTSCHE-BROKER,2000,3907320.0,SSI-DE-5510,TEST
15,TRD100014,2026-08-19,SETTLED,INSTRUCTED,KOTAK-CUST,500,947465.0,SSI-IN-0203,TRAIN
16,TRD100015,2026-08-06,SETTLED,INSTRUCTED,MORGANSTANLEY-BROKER,500,424905.0,SSI-US-7742,TRAIN
17,TRD100016,2026-08-06,SETTLED,INSTRUCTED,NOMURA-BROKER,100,275551.0,SSI-JP-3389,TEST
18,TRD100017,2026-08-21,SETTLED,INSTRUCTED,DEUTSCHE-BROKER,200,235778.0,SSI-DE-5510,TEST
19,TRD100018,2026-08-19,SETTLED,INSTRUCTED,KOTAK-CUST,200,391850.0,SSI-IN-0203,TRAIN
20,TRD100019,2026-08-02,SETTLED,INSTRUCTED,NOMURA-BROKER,1500,1854840.0,SSI-JP-3389,TRAIN
21,TRD100020,2026-08-11,SETTLED,INSTRUCTED,NOMURA-BROKER,200,738758.0,SSI-JP-3389,TRAIN
22,TRD100021,2026-08-18,SETTLED,INSTRUCTED,ICICI-CUST,250,211482.5,SSI-IN-0091,TRAIN
23,TRD100022,2026-08-11,SETTLED,INSTRUCTED,HDFC-CUST,200,572546.0,SSI-IN-0147,TRAIN
24,TRD100023,2026-08-17,SETTLED,INSTRUCTED,ICICI-CUST,200,34348.0,SSI-IN-0091,TRAIN
25,TRD100024,2026-08-07,FAILED,INCORRECT,KOTAK-CUST,2000,3928880.0,SSI-US-7742,TEST
26,TRD100025,2026-08-14,SETTLED,INSTRUCTED,NOMURA-BROKER,500,86410.0,SSI-JP-3389,TEST
27,TRD100026,2026-08-09,SETTLED,INSTRUCTED,ICICI-CUST,2000,343600.0,SSI-IN-0091,TRAIN
28,TRD100027,2026-08-02,SETTLED,INSTRUCTED,ICICI-CUST,500,590645.0,SSI-IN-0091,TRAIN
29,TRD100028,2026-08-04,SETTLED,INSTRUCTED,MORGANSTANLEY-BROKER,100,413557.0,SSI-US-7742,TEST
30,TRD100029,2026-08-07,SETTLED,INSTRUCTED,NOMURA-BROKER,2000,3900220.0,SSI-JP-3389,TRAIN
31,TRD100030,2026-08-08,SETTLED,INSTRUCTED,ICICI-CUST,2000,5508080.0,SSI-IN-0091,TRAIN
32,TRD100031,2026-08-03,SETTLED,INSTRUCTED,NOMURA-BROKER,1500,1267275.0,SSI-JP-3389,TRAIN
33,TRD100032,2026-08-05,SETTLED,INSTRUCTED,HDFC-CUST,1000,1695480.0,SSI-IN-0147,TRAIN
34,TRD100033,2026-08-07,SETTLED,INSTRUCTED,KOTAK-CUST,2000,7333820.0,SSI-IN-0203,TRAIN
35,TRD100034,2026-08-19,FAILED,INCORRECT,ICICI-CUST,200,2594524.0,SSI-DE-5510,TRAIN
36,TRD100035,2026-08-17,SETTLED,INSTRUCTED,DEUTSCHE-BROKER,500,2053500.0,SSI-DE-5510,TRAIN
37,TRD100036,2026-08-02,SETTLED,INSTRUCTED,DEUTSCHE-BROKER,100,17187.0,SSI-DE-5510,TEST
38,TRD100037,2026-08-19,SETTLED,INSTRUCTED,NOMURA-BROKER,1500,1864860.0,SSI-JP-3389,TEST
39,TRD100038,2026-08-03,SETTLED,INSTRUCTED,MORGANSTANLEY-BROKER,750,1252852.5,SSI-US-7742,TRAIN
40,TRD100039,2026-08-18,SETTLED,INSTRUCTED,MORGANSTANLEY-BROKER,100,285290.0,SSI-US-7742,TRAIN
41,TRD100040,2026-08-04,SETTLED,INSTRUCTED,MORGANSTANLEY-BROKER,200,738616.0,SSI-US-7742,TRAIN
42,TRD100041,2026-08-20,FAILED,INCORRECT,HDFC-CUST,200,339572.0,SSI-DE-5510,TRAIN
43,TRD100042,2026-08-08,SETTLED,INSTRUCTED,NOMURA-BROKER,1000,1697750.0,SSI-JP-3389,TRAIN
44,TRD100043,2026-08-22,SETTLED,INSTRUCTED,KOTAK-CUST,1500,1854330.0,SSI-IN-0203,TRAIN
45,TRD100044,2026-08-21,SETTLED,INSTRUCTED,MORGANSTANLEY-BROKER,200,34320.0,SSI-US-7742,TRAIN
46,TRD100045,2026-08-06,SETTLED,INSTRUCTED,KOTAK-CUST,500,1840185.0,SSI-IN-0203,TEST
47,TRD100046,2026-08-19,SETTLED,INSTRUCTED,NOMURA-BROKER,750,632032.5,SSI-JP-3389,TEST
48,TRD100047,2026-08-05,SETTLED,INSTRUCTED,HDFC-CUST,750,1473105.0,SSI-IN-0147,TRAIN
49,TRD100048,2026-08-06,SETTLED,INSTRUCTED,KOTAK-CUST,200,34574.0,SSI-IN-0203,TRAIN
50,TRD100049,2026-08-22,SETTLED,INSTRUCTED,KOTAK-CUST,1000,608540.0,SSI-IN-0203,TRAIN
51,TRD100050,2026-08-15,PENDING,MISSING,KOTAK-CUST,100,17175.0,,TRAIN
52,TRD100051,2026-08-10,SETTLED,INSTRUCTED,HDFC-CUST,250,211690.0,SSI-IN-0147,TRAIN
53,TRD100052,2026-08-06,SETTLED,INSTRUCTED,MORGANSTANLEY-BROKER,100,366587.0,SSI-US-7742,TRAIN
54,TRD100053,2026-08-03,SETTLED,INSTRUCTED,KOTAK-CUST,250,294855.0,SSI-IN-0203,TRAIN
55,TRD100054,2026-08-09,FAILED,INCORRECT,NOMURA-BROKER,1000,171950.0,SSI-IN-0147,TRAIN
56,TRD100055,2026-08-06,SETTLED,INSTRUCTED,HDFC-CUST,1500,4137915.0,SSI-IN-0147,TRAIN
57,TRD100056,2026-08-12,SETTLED,INSTRUCTED,DEUTSCHE-BROKER,1500,257445.0,SSI-DE-5510,TEST
58,TRD100057,2026-08-03,SETTLED,INSTRUCTED,DEUTSCHE-BROKER,200,377616.0,SSI-DE-5510,TRAIN
59,TRD100058,2026-08-09,SETTLED,INSTRUCTED,HDFC-CUST,2000,25920980.0,SSI-IN-0147,TRAIN
60,TRD100059,2026-08-04,SETTLED,INSTRUCTED,KOTAK-CUST,1000,1686660.0,SSI-IN-0203,TRAIN
61,TRD100060,2026-08-05,SETTLED,INSTRUCTED,KOTAK-CUST,1000,1964290.0,SSI-IN-0203,TRAIN
62,TRD100061,2026-08-13,SETTLED,INSTRUCTED,NOMURA-BROKER,200,570650.0,SSI-JP-3389,TRAIN
63,TRD100062,2026-08-20,SETTLED,INSTRUCTED,HDFC-CUST,200,235780.0,SSI-IN-0147,TRAIN
64,TRD100063,2026-08-19,SETTLED,INSTRUCTED,NOMURA-BROKER,1500,910965.0,SSI-JP-3389,TRAIN
65,TRD100064,2026-08-12,SETTLED,INSTRUCTED,MORGANSTANLEY-BROKER,200,339598.0,SSI-US-7742,TRAIN
66,TRD100065,2026-08-15,SETTLED,INSTRUCTED,KOTAK-CUST,750,457792.5,SSI-IN-0203,TRAIN
67,TRD100066,2026-08-14,SETTLED,INSTRUCTED,NOMURA-BROKER,250,917202.5,SSI-JP-3389,TRAIN
68,TRD100067,2026-08-08,SETTLED,INSTRUCTED,DEUTSCHE-BROKER,100,168708.0,SSI-DE-5510,TRAIN
69,TRD100068,2026-08-18,SETTLED,INSTRUCTED,DEUTSCHE-BROKER,2000,939440.0,SSI-DE-5510,TRAIN
70,TRD100069,2026-08-09,SETTLED,INSTRUCTED,NOMURA-BROKER,1000,1235750.0,SSI-JP-3389,TRAIN
71,TRD100070,2026-08-03,SETTLED,INSTRUCTED,HDFC-CUST,500,1367960.0,SSI-IN-0147,TEST
72,TRD100071,2026-08-20,SETTLED,INSTRUCTED,HDFC-CUST,1500,706065.0,SSI-IN-0147,TRAIN
73,TRD100072,2026-08-02,SETTLED,INSTRUCTED,ICICI-CUST,500,842220.0,SSI-IN-0091,TRAIN
74,TRD100073,2026-08-09,SETTLED,INSTRUCTED,ICICI-CUST,2000,3763600.0,SSI-IN-0091,TRAIN
75,TRD100074,2026-08-19,SETTLED,INSTRUCTED,MORGANSTANLEY-BROKER,2000,5500400.0,SSI-US-7742,TRAIN
76,TRD100075,2026-08-20,SETTLED,INSTRUCTED,DEUTSCHE-BROKER,1500,1776225.0,SSI-DE-5510,TEST
77,TRD100076,2026-08-22,SETTLED,INSTRUCTED,KOTAK-CUST,750,352560.0,SSI-IN-0203,TEST
78,TRD100077,2026-08-11,SETTLED,INSTRUCTED,HDFC-CUST,2000,2471120.0,SSI-IN-0147,TRAIN
79,TRD100078,2026-08-09,SETTLED,INSTRUCTED,DEUTSCHE-BROKER,200,168508.0,SSI-DE-5510,TEST
80,TRD100079,2026-08-19,SETTLED,INSTRUCTED,DEUTSCHE-BROKER,1500,6175410.0,SSI-DE-5510,TRAIN
81,TRD100080,2026-08-20,SETTLED,INSTRUCTED,NOMURA-BROKER,1500,2510025.0,SSI-JP-3389,TRAIN
82,TRD100081,2026-08-11,SETTLED,INSTRUCTED,DEUTSCHE-BROKER,100,47098.0,SSI-DE-5510,TRAIN
83,TRD100082,2026-08-17,SETTLED,INSTRUCTED,ICICI-CUST,500,233920.0,SSI-IN-0091,TRAIN
84,TRD100083,2026-08-16,SETTLED,INSTRUCTED,HDFC-CUST,1500,2940120.0,SSI-IN-0147,TRAIN
85,TRD100084,2026-08-15,SETTLED,INSTRUCTED,HDFC-CUST,100,117534.0,SSI-IN-0147,TRAIN
86,TRD100085,2026-08-08,SETTLED,INSTRUCTED,DEUTSCHE-BROKER,750,2135287.5,SSI-DE-5510,TEST
87,TRD100086,2026-08-15,SETTLED,INSTRUCTED,KOTAK-CUST,1500,4109265.0,SSI-IN-0203,TRAIN
88,TRD100087,2026-08-13,SETTLED,INSTRUCTED,HDFC-CUST,100,286475.0,SSI-IN-0147,TRAIN
89,TRD100088,2026-08-08,SETTLED,INSTRUCTED,ICICI-CUST,100,275794.0,SSI-IN-0091,TRAIN
90,TRD100089,2026-08-20,SETTLED,INSTRUCTED,HDFC-CUST,2000,3787000.0,SSI-IN-0147,TRAIN
91,TRD100090,2026-08-21,SETTLED,INSTRUCTED,NOMURA-BROKER,1000,2736480.0,SSI-JP-3389,TRAIN
92,TRD100091,2026-08-11,SETTLED,INSTRUCTED,MORGANSTANLEY-BROKER,200,248356.0,SSI-US-7742,TRAIN
93,TRD100092,2026-08-22,SETTLED,INSTRUCTED,HDFC-CUST,500,303880.0,SSI-IN-0147,TRAIN
94,TRD100093,2026-08-20,SETTLED,INSTRUCTED,ICICI-CUST,200,2603690.0,SSI-IN-0091,TRAIN
95,TRD100094,2026-08-22,SETTLED,INSTRUCTED,KOTAK-CUST,1000,1947270.0,SSI-IN-0203,TEST
96,TRD100095,2026-08-13,SETTLED,INSTRUCTED,NOMURA-BROKER,2000,25857600.0,SSI-JP-3389,TRAIN
97,TRD100096,2026-08-22,SETTLED,INSTRUCTED,KOTAK-CUST,250,423587.5,SSI-IN-0203,TRAIN
98,TRD100097,2026-08-09,SETTLED,INSTRUCTED,ICICI-CUST,750,1265550.0,SSI-IN-0091,TRAIN
99,TRD100098,2026-08-14,SETTLED,INSTRUCTED,KOTAK-CUST,2000,3352740.0,SSI-IN-0203,TRAIN
100,TRD100099,2026-08-08,SETTLED,INSTRUCTED,KOTAK-CUST,1000,12938700.0,SSI-IN-0203,TRAIN
101,TRD100100,2026-08-18,SETTLED,INSTRUCTED,HDFC-CUST,750,931117.5,SSI-IN-0147,TRAIN
102,TRD100101,2026-08-09,SETTLED,INSTRUCTED,NOMURA-BROKER,1500,915420.0,SSI-JP-3389,TRAIN
103,TRD100102,2026-08-09,SETTLED,INSTRUCTED,DEUTSCHE-BROKER,100,46699.0,SSI-DE-5510,TRAIN
104,TRD100103,2026-08-18,SETTLED,INSTRUCTED,KOTAK-CUST,1000,1955180.0,SSI-IN-0203,TRAIN
105,TRD100104,2026-08-10,SETTLED,INSTRUCTED,HDFC-CUST,2000,1687320.0,SSI-IN-0147,TRAIN
106,TRD100105,2026-08-07,SETTLED,INSTRUCTED,HDFC-CUST,200,169530.0,SSI-IN-0147,TEST
107,TRD100106,2026-08-08,SETTLED,INSTRUCTED,KOTAK-CUST,750,935070.0,SSI-IN-0203,TEST
108,TRD100107,2026-08-19,SETTLED,INSTRUCTED,HDFC-CUST,750,1410840.0,SSI-IN-0147,TRAIN
109,TRD100108,2026-08-06,SETTLED,INSTRUCTED,NOMURA-BROKER,750,2142097.5,SSI-JP-3389,TRAIN
110,TRD100109,2026-08-17,PENDING,MISSING,DEUTSCHE-BROKER,100,1298961.0,,TRAIN
111,TRD100110,2026-08-17,SETTLED,INSTRUCTED,ICICI-CUST,100,188562.0,SSI-IN-0091,TRAIN
112,TRD100111,2026-08-03,SETTLED,INSTRUCTED,HDFC-CUST,200,93852.0,SSI-IN-0147,TRAIN
113,TRD100112,2026-08-15,SETTLED,INSTRUCTED,MORGANSTANLEY-BROKER,500,2052515.0,SSI-US-7742,TRAIN
114,TRD100113,2026-08-20,SETTLED,INSTRUCTED,DEUTSCHE-BROKER,2000,935900.0,SSI-DE-5510,TRAIN
115,TRD100114,2026-08-08,SETTLED,INSTRUCTED,NOMURA-BROKER,200,237106.0,SSI-JP-3389,TEST
116,TRD100115,2026-08-07,FAILED,INCORRECT,MORGANSTANLEY-BROKER,200,389798.0,SSI-IN-0147,TRAIN
117,TRD100116,2026-08-21,FAILED,INCORRECT,DEUTSCHE-BROKER,1500,4273635.0,SSI-JP-3389,TRAIN
118,TRD100117,2026-08-16,SETTLED,INSTRUCTED,ICICI-CUST,750,1259002.5,SSI-IN-0091,TEST
119,TRD100118,2026-08-24,PENDING,INSTRUCTED,HDFC-CUST,500,1371770.0,SSI-IN-0147,TRAIN
120,TRD100119,2026-08-07,SETTLED,INSTRUCTED,KOTAK-CUST,250,3231092.5,SSI-IN-0203,TRAIN
121,TRD100120,2026-08-14,SETTLED,INSTRUCTED,KOTAK-CUST,2000,8257040.0,SSI-IN-0203,TRAIN
122,TRD100121,2026-08-15,PENDING,INSTRUCTED,MORGANSTANLEY-BROKER,100,413680.0,SSI-US-7742,TRAIN
123,TRD100122,2026-08-20,SETTLED,INSTRUCTED,MORGANSTANLEY-BROKER,500,2069890.0,SSI-US-7742,TEST
124,TRD100123,2026-08-07,SETTLED,INSTRUCTED,DEUTSCHE-BROKER,100,118336.0,SSI-DE-5510,TEST
125,TRD100124,2026-08-17,PENDING,MISSING,ICICI-CUST,1500,2839275.0,,TRAIN
126,TRD100125,2026-08-05,SETTLED,INSTRUCTED,HDFC-CUST,1000,1687380.0,SSI-IN-0147,TRAIN
127,TRD100126,2026-08-19,PENDING,INSTRUCTED,MORGANSTANLEY-BROKER,2000,1218120.0,SSI-US-7742,TEST
128,TRD100127,2026-08-05,SETTLED,INSTRUCTED,DEUTSCHE-BROKER,1000,4110550.0,SSI-DE-5510,TRAIN
129,TRD100128,2026-08-13,SETTLED,INSTRUCTED,MORGANSTANLEY-BROKER,100,168512.0,SSI-US-7742,TRAIN
130,TRD100129,2026-08-22,PENDING,INSTRUCTED,HDFC-CUST,100,273746.0,SSI-IN-0147,TRAIN
131,TRD100130,2026-08-22,SETTLED,INSTRUCTED,MORGANSTANLEY-BROKER,2000,343600.0,SSI-US-7742,TRAIN
