trade_id,trade_date,security,isin,ticker,quantity,price,trade_value,counterparty,portfolio,booking_status,settlement_date,side,confirmed_price,confirmed_quantity,confirmed_trade_date,confirmed_counterparty,confirmation_status,split
TRD100000,2026-08-09,KOTAKBANK,INE100000,KOTAKBANK,200,1946.41,389282.0,HDFC-CUST,EQ-CORE-02,BOOKED,2026-08-10,BUY,1946.41,200,2026-08-09,HDFC-CUST,RECEIVED,TRAIN
TRD100001,2026-08-18,WIPRO,INE100001,WIPRO,200,611.43,122286.0,ICICI-CUST,EQ-INDEX-04,BOOKED,2026-08-19,BUY,611.43,200,2026-08-18,ICICI-CUST,RECEIVED,TRAIN
TRD100002,2026-08-17,RELIANCE,INE100002,RELIANCE,200,2842.48,568496.0,MORGANSTANLEY-BROKER,EQ-CORE-01,BOOKED,2026-08-18,BUY,2842.48,200,2026-08-17,MORGANSTANLEY-BROKER,RECEIVED,TEST
TRD100003,2026-08-19,WIPRO,INE100003,WIPRO,1500,608.64,912960.0,KOTAK-CUST,EQ-CORE-01,BOOKED,2026-08-20,BUY,608.64,1500,2026-08-19,KOTAK-CUST,RECEIVED,TRAIN
TRD100004,2026-08-05,WIPRO,INE100004,WIPRO,1500,609.37,914055.0,HDFC-CUST,EQ-ALPHA-03,BOOKED,2026-08-06,BUY,609.37,1500,2026-08-05,HDFC-CUST,RECEIVED,TEST
TRD100005,2026-08-12,TCS,INE100005,TCS,1500,4104.13,6156195.0,MORGANSTANLEY-BROKER,EQ-ALPHA-03,BOOKED,2026-08-13,BUY,4104.13,1500,2026-08-12,MORGANSTANLEY-BROKER,RECEIVED,TEST
TRD100006,2026-08-13,WIPRO,INE100006,WIPRO,2000,610.57,1221140.0,ICICI-CUST,EQ-ALPHA-03,BOOKED,2026-08-14,SELL,610.57,2000,2026-08-13,ICICI-CUST,RECEIVED,TRAIN
TRD100007,2026-08-02,AXISBANK,INE100007,AXISBANK,500,1182.66,591330.0,NOMURA-BROKER,EQ-CORE-02,BOOKED,2026-08-03,SELL,1182.66,500,2026-08-02,NOMURA-BROKER,RECEIVED,TRAIN
TRD100008,2026-08-13,TCS,INE100008,TCS,500,4135.85,2067925.0,KOTAK-CUST,EQ-INDEX-04,BOOKED,2026-08-14,SELL,4135.85,500,2026-08-13,KOTAK-CUST,RECEIVED,TEST
TRD100009,2026-08-09,INFY,INE100009,INFY,1000,1887.56,1887560.0,NOMURA-BROKER,EQ-CORE-01,BOOKED,2026-08-10,BUY,1887.56,1000,2026-08-09,NOMURA-BROKER,RECEIVED,TRAIN
TRD100010,2026-08-13,LT,INE100010,LT,500,3667.76,1833880.0,KOTAK-CUST,EQ-CORE-02,BOOKED,2026-08-14,SELL,3667.76,500,2026-08-13,KOTAK-CUST,RECEIVED,TRAIN
TRD100011,2026-08-02,MARUTI,INE100011,MARUTI,100,12944.83,1294483.0,KOTAK-CUST,EQ-INDEX-04,BOOKED,2026-08-03,SELL,12944.83,100,2026-08-02,KOTAK-CUST,RECEIVED,TRAIN
TRD100012,2026-08-19,TCS,INE100012,TCS,500,4137.77,2068885.0,NOMURA-BROKER,EQ-ALPHA-03,BOOKED,2026-08-20,BUY,4137.77,500,2026-08-19,NOMURA-BROKER,RECEIVED,TRAIN
TRD100013,2026-08-21,KOTAKBANK,INE100013,KOTAKBANK,2000,1953.66,3907320.0,DEUTSCHE-BROKER,EQ-CORE-02,BOOKED,2026-08-22,SELL,1953.66,2000,2026-08-21,DEUTSCHE-BROKER,RECEIVED,TEST
TRD100014,2026-08-18,INFY,INE100014,INFY,500,1894.93,947465.0,KOTAK-CUST,EQ-INDEX-04,BOOKED,2026-08-19,SELL,1894.93,500,2026-08-18,KOTAK-CUST,RECEIVED,TRAIN
TRD100015,2026-08-05,SBIN,INE100015,SBIN,500,849.81,424905.0,MORGANSTANLEY-BROKER,EQ-INDEX-04,BOOKED,2026-08-06,BUY,849.81,500,2026-08-05,MORGANSTANLEY-BROKER,RECEIVED,TRAIN
TRD100016,2026-08-05,HINDUNILVR,INE100016,HINDUNILVR,100,2755.51,275551.0,NOMURA-BROKER,EQ-CORE-02,BOOKED,2026-08-06,SELL,2755.51,100,2026-08-05,NOMURA-BROKER,RECEIVED,TEST
TRD100017,2026-08-20,AXISBANK,INE100017,AXISBANK,200,1178.89,235778.0,DEUTSCHE-BROKER,EQ-ALPHA-03,BOOKED,2026-08-21,BUY,1178.89,200,2026-08-20,DEUTSCHE-BROKER,RECEIVED,TEST
TRD100018,2026-08-18,KOTAKBANK,INE100018,KOTAKBANK,200,1959.25,391850.0,KOTAK-CUST,EQ-ALPHA-03,BOOKED,2026-08-19,BUY,1959.25,200,2026-08-18,DEUTSCHE-BROKER,RECEIVED,TRAIN
TRD100019,2026-08-01,ICICIBANK,INE100019,ICICIBANK,1500,1236.56,1854840.0,NOMURA-BROKER,EQ-ALPHA-03,BOOKED,2026-08-02,BUY,1236.56,1500,2026-08-01,NOMURA-BROKER,RECEIVED,TRAIN
TRD100020,2026-08-10,LT,INE100020,LT,200,3693.79,738758.0,NOMURA-BROKER,EQ-CORE-02,BOOKED,2026-08-11,BUY,3693.79,150,2026-08-10,NOMURA-BROKER,RECEIVED,TRAIN
TRD100021,2026-08-17,SBIN,INE100021,SBIN,250,845.93,211482.5,ICICI-CUST,EQ-ALPHA-03,BOOKED,2026-08-18,SELL,845.93,250,2026-08-17,ICICI-CUST,RECEIVED,TRAIN
TRD100022,2026-08-10,RELIANCE,INE100022,RELIANCE,200,2862.73,572546.0,HDFC-CUST,EQ-CORE-01,BOOKED,2026-08-11,BUY,2862.73,200,2026-08-10,HDFC-CUST,RECEIVED,TRAIN
TRD100023,2026-08-16,TATASTEEL,INE100023,TATASTEEL,200,171.74,34348.0,ICICI-CUST,EQ-CORE-02,BOOKED,2026-08-17,BUY,171.74,200,2026-08-17,ICICI-CUST,RECEIVED,TRAIN
TRD100024,2026-08-06,KOTAKBANK,INE100024,KOTAKBANK,2000,1964.44,3928880.0,KOTAK-CUST,EQ-INDEX-04,BOOKED,2026-08-07,BUY,1964.44,2000,2026-08-06,KOTAK-CUST,RECEIVED,TEST
TRD100025,2026-08-13,TATASTEEL,INE100025,TATASTEEL,500,172.82,86410.0,NOMURA-BROKER,EQ-ALPHA-03,BOOKED,2026-08-14,SELL,172.82,500,2026-08-13,NOMURA-BROKER,RECEIVED,TEST
TRD100026,2026-08-08,TATASTEEL,INE100026,TATASTEEL,2000,171.8,343600.0,ICICI-CUST,EQ-ALPHA-03,BOOKED,2026-08-09,BUY,171.8,2000,2026-08-08,ICICI-CUST,RECEIVED,TRAIN
TRD100027,2026-08-01,AXISBANK,INE100027,AXISBANK,500,1181.29,590645.0,ICICI-CUST,EQ-CORE-01,BOOKED,2026-08-02,BUY,1181.29,700,2026-08-01,ICICI-CUST,RECEIVED,TRAIN
TRD100028,2026-08-03,TCS,INE100028,TCS,100,4135.57,413557.0,MORGANSTANLEY-BROKER,EQ-CORE-02,BOOKED,2026-08-04,SELL,4135.57,100,2026-08-03,MORGANSTANLEY-BROKER,RECEIVED,TEST
TRD100029,2026-08-05,KOTAKBANK,INE100029,KOTAKBANK,2000,1950.11,3900220.0,NOMURA-BROKER,EQ-INDEX-04,BOOKED,2026-08-06,BUY,1950.11,2000,2026-08-05,NOMURA-BROKER,RECEIVED,TRAIN
TRD100030,2026-08-07,HINDUNILVR,INE100030,HINDUNILVR,2000,2754.04,5508080.0,ICICI-CUST,EQ-CORE-01,BOOKED,2026-08-08,SELL,2754.04,2000,2026-08-07,ICICI-CUST,RECEIVED,TRAIN
TRD100031,2026-08-02,SBIN,INE100031,SBIN,1500,844.85,1267275.0,NOMURA-BROKER,EQ-CORE-01,BOOKED,2026-08-03,BUY,844.85,1700,2026-08-02,NOMURA-BROKER,RECEIVED,TRAIN
TRD100032,2026-08-04,BHARTIARTL,INE100032,BHARTIARTL,1000,1695.48,1695480.0,HDFC-CUST,EQ-CORE-02,BOOKED,2026-08-05,BUY,1695.48,1000,2026-08-04,HDFC-CUST,RECEIVED,TRAIN
TRD100033,2026-08-06,LT,INE100033,LT,2000,3666.91,7333820.0,KOTAK-CUST,EQ-INDEX-04,BOOKED,2026-08-07,BUY,3666.91,2000,2026-08-06,KOTAK-CUST,RECEIVED,TRAIN
